Rank_Subdirs,Rank_Files,Rank_Size,Average_Rank,Directory,Depth,Cumulative_Num_Subdirs,Cumulative_Num_Files,Cumulative_Total_Size_MB,Immediate_Num_Subdirs,Immediate_Num_Files,Immediate_Total_Size_MB,WeightedSum,Ext_.tol,Ext_.cpp,Ext_.c,Ext_.h,Ext_.oza,Ext_.tcl,Ext_.html,Ext_.txt,Ext_.bdt,Ext_.pdf,Ext_.ods,Ext_.bsr,Ext_.sh,Ext_.cmake,Ext_.css,Ext_,Ext_.java,Ext_.exe,Ext_.js,Ext_.vcproj,Ext_.xml,Ext_.gif,Ext_.msg,Ext_.am,Ext_.png,Ext_.scss,Ext_.bat,Ext_.hpp,Ext_.odt,Ext_.xls,Ext_.bst,Ext_.bmt,Ext_.gz,Ext_.zip,Ext_.jsp,Ext_.test,Ext_.sln,Ext_.cc,Ext_.tex,Ext_.dsp,Ext_.wiki,Ext_.cur,Ext_.lyx,Ext_.xbm,Ext_.m4,Ext_.properties,Ext_.ico,Ext_.in,Ext_.3,Ext_.rc,Ext_.null,Ext_.text,Ext_.nroff,Ext_.bbm,Ext_.csv,Ext_.mk,Ext_.bmp,Ext_.htm,Ext_.odp,Ext_.tmml,Ext_.log,Ext_.dat,Ext_.eps,Ext_.rb,Ext_.doc,Ext_.jbf,Ext_.m4sh,Ext_.mf,Ext_.bsd,Ext_.dll,Ext_.sql,Ext_.xlsx,Ext_.r,Ext_.bin,Ext_.bak,Ext_.py,Ext_.latex,Ext_.pps,Ext_.xpm,Ext_.jpg,Ext_.bsi,Ext_.bash,Ext_.bench,Ext_.jspf,Ext_.man,Ext_.ini,Ext_.ppt,Ext_.guess,Ext_.sub,Ext_.tpl,Ext_.desc,Ext_.list,Ext_.so,Ext_.nsh,Ext_.nsi,Ext_.seed,Ext_.navdata,Ext_.status,Ext_.lib,Ext_.ac,Ext_.bas,Ext_.inc,Ext_.lst,Ext_.lnk,Ext_.8,Ext_.def,Ext_.template,Ext_.centos6x,Ext_.sufix,Ext_.prefix,Ext_.kit,Ext_.centos54,Ext_.es,Ext_.jam,Ext_.md,Immediate_Ext_.tol,Immediate_Ext_.tcl,Immediate_Ext_.gif,Immediate_Ext_.h,Immediate_Ext_.cpp,Immediate_Ext_,Immediate_Ext_.c,Immediate_Ext_.txt,Immediate_Ext_.oza,Immediate_Ext_.bsr,Immediate_Ext_.html,Immediate_Ext_.java,Immediate_Ext_.am,Immediate_Ext_.cmake,Immediate_Ext_.msg,Immediate_Ext_.js,Immediate_Ext_.bat,Immediate_Ext_.lyx,Immediate_Ext_.pdf,Immediate_Ext_.m4,Immediate_Ext_.xml,Immediate_Ext_.vcproj,Immediate_Ext_.sh,Immediate_Ext_.png,Immediate_Ext_.in,Immediate_Ext_.css,Immediate_Ext_.scss,Immediate_Ext_.xbm,Immediate_Ext_.ods,Immediate_Ext_.ico,Immediate_Ext_.properties,Immediate_Ext_.hpp,Immediate_Ext_.bdt,Immediate_Ext_.xls,Immediate_Ext_.exe,Immediate_Ext_.3,Immediate_Ext_.bst,Immediate_Ext_.gz,Immediate_Ext_.cur,Immediate_Ext_.rc,Immediate_Ext_.sln,Immediate_Ext_.odt,Immediate_Ext_.csv,Immediate_Ext_.dsp,Immediate_Ext_.jsp,Immediate_Ext_.test,Immediate_Ext_.zip,Immediate_Ext_.bmt,Immediate_Ext_.cc,Immediate_Ext_.mk,Immediate_Ext_.tex,Immediate_Ext_.log,Immediate_Ext_.bmp,Immediate_Ext_.htm,Immediate_Ext_.text,Immediate_Ext_.mf,Immediate_Ext_.m4sh,Immediate_Ext_.nroff,Immediate_Ext_.null,Immediate_Ext_.doc,Immediate_Ext_.wiki,Immediate_Ext_.odp,Immediate_Ext_.dat,Immediate_Ext_.eps,Immediate_Ext_.bbm,Immediate_Ext_.tmml,Immediate_Ext_.bash,Immediate_Ext_.jspf,Immediate_Ext_.nsh,Immediate_Ext_.rb,Immediate_Ext_.bsd,Immediate_Ext_.bsi,Immediate_Ext_.sub,Immediate_Ext_.nsi,Immediate_Ext_.py,Immediate_Ext_.ppt,Immediate_Ext_.guess,Immediate_Ext_.man,Immediate_Ext_.jbf,Immediate_Ext_.status,Immediate_Ext_.ini,Immediate_Ext_.jpg,Immediate_Ext_.bench,Immediate_Ext_.tpl,Immediate_Ext_.xpm,Immediate_Ext_.prefix,Immediate_Ext_.centos6x,Immediate_Ext_.centos54,Immediate_Ext_.xlsx,Immediate_Ext_.r,Immediate_Ext_.navdata,Immediate_Ext_.sql,Immediate_Ext_.sufix,Immediate_Ext_.def,Immediate_Ext_.bas,Immediate_Ext_.lst,Immediate_Ext_.lnk,Immediate_Ext_.template,Immediate_Ext_.jam,Immediate_Ext_.es,Immediate_Ext_.dll,Immediate_Ext_.pps,Immediate_Ext_.seed,Immediate_Ext_.ac,Immediate_Ext_.so,Immediate_Ext_.kit,Immediate_Ext_.inc,Immediate_Ext_.list,Immediate_Ext_.latex,Immediate_Ext_.desc,Immediate_Ext_.8,Immediate_Ext_.bin,Immediate_Ext_.lib,Immediate_Ext_.bak,Immediate_Ext_.md
1,1,1,1,.,0,1138,4290,164.472,17,11,1.214,3319.651642,881,259,143,265,118,767,109,128,13,25,15,113,23,39,20,169,49,12,35,23,23,533,36,49,23,18,34,14,7,13,10,6,9,6,6,6,8,5,4,6,3,8,25,16,23,14,14,23,11,8,3,3,3,3,7,4,4,4,3,2,4,3,3,2,3,2,3,3,2,1,1,1,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,2,3,2.3,tol_tests,1,686,1107,26.077,4,4,0.023,1004.090986,772,0,1,0,117,10,1,13,13,1,7,113,2,0,0,14,0,0,0,0,1,6,0,0,5,0,2,0,0,3,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,1,0,2,0,0,0,0,0,0,0,2,0,1,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,4,3.3,tol_tests\tol,2,656,1058,25.994,22,4,0.004,961.3817262,746,0,0,0,117,0,0,9,13,1,7,113,0,0,0,13,0,0,0,0,1,6,0,0,5,0,0,0,0,3,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,1,0,2,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,4,5,4.7,tol,1,103,1051,23.379,20,46,1.855,863.3646131,81,248,135,252,1,1,4,60,0,0,0,0,6,21,0,86,0,0,0,15,1,0,0,49,0,0,3,14,0,2,1,5,1,0,0,0,2,5,1,4,0,0,0,0,14,0,0,6,11,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,1,0,1,1,1,0,1,0,0,5,5,16,0,4,0,0,0,0,1,0,0,0,1,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,5,8,5.7,tol_tests\tol\Bugzilla,3,378,572,16.435,348,0,0,533.3468254,469,0,0,0,42,0,0,5,12,0,0,23,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,10,11,9,tolsh,1,99,451,9.129,5,4,0.105,370.0470312,9,0,0,0,0,399,3,2,0,0,0,0,1,0,0,3,0,3,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
11,6,7,8,tolbase,1,62,558,16.466,10,19,0.411,364.5301855,4,0,2,1,0,176,1,10,0,0,0,0,1,4,0,23,0,1,0,2,0,263,15,0,6,0,0,0,0,0,0,0,4,1,0,3,1,0,0,1,0,4,0,8,3,0,5,4,0,4,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,7,18,12,tolbaseBLT,1,62,551,6.544,10,19,0.411,359.8037651,4,0,2,1,0,172,1,10,0,0,0,0,1,4,0,23,0,1,0,2,0,263,15,0,6,0,0,0,0,0,0,0,2,0,0,3,1,0,0,1,0,4,0,8,3,0,5,4,0,4,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,11,22,13.7,tolsh\tolsh.vfs,2,93,431,5.317,1,1,0,356.4280496,2,0,0,0,0,398,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,12,22,14.3,tolsh\tolsh.vfs\lib,3,92,430,5.317,6,0,0,355.5689813,2,0,0,0,0,397,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
